Relative path to structure,Relative path to metrics (JSON/log),Modelling software,Entry title,Entry description,Entry short name,pTM (optional)
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0011_ESMFold_archease.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0011_ESMFold_archease.pdb,ESMFold,archease,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0011,0.865
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0012_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0012_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0012,0.903
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0013_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0013_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0013,0.467
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0014_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0014_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0014,0.724
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0015_ESMFold_50S_ribosomal_protein_L37ae.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0015_ESMFold_50S_ribosomal_protein_L37ae.pdb,ESMFold,50S ribosomal protein L37ae,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0015,0.261
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0016_ESMFold_exosome_complex_protein_Rrp42.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0016_ESMFold_exosome_complex_protein_Rrp42.pdb,ESMFold,exosome complex protein Rrp42,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0016,0.962
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0017_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0017_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Exosome complex component Rrp41 ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0017,0.729
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0018_ESMFold_exosome_complex_RNA-binding_protein_Rrp4.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0018_ESMFold_exosome_complex_RNA-binding_protein_Rrp4.pdb,ESMFold,exosome complex RNA-binding protein Rrp4,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0018,0.885
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0019_ESMFold_ribosome_assembly_factor_SBDS.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0019_ESMFold_ribosome_assembly_factor_SBDS.pdb,ESMFold,ribosome assembly factor SBDS,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0019,0.782
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0020_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0020_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb,ESMFold,archaeal proteasome endopeptidase complex subunit alpha,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0020,0.939
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0021_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0021_ESMFold_hypothetical_protein.pdb,ESMFold,"structural match to: Palmitoyl-protein thioesterase ABHD10, mitochondrial ","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0021,0.91
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0022_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0022_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Uncharacterized N-acetyltransferase YitH ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0022,0.949
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0023_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0023_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Loki profilin-3 ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0023,0.693
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0024_ESMFold_DUF211_ESMFold_family_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0024_ESMFold_DUF211_ESMFold_family_protein.pdb,ESMFold,DUF2110 family protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0024,0.857
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0025_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0025_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase 40 kDa form ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0025,0.86
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0026_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0026_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0026,0.326
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0027_ESMFold_M1_family_metallopeptidase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0027_ESMFold_M1_family_metallopeptidase.pdb,ESMFold,M1 family metallopeptidase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0027,0.832
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0028_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0028_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0028,0.623
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0029_AF2_calcium-translocating_P-type_ATPase-_SERCA-type.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot044/ranking_debug.json,AlphaFold2.3,"calcium-translocating P-type ATPase, SERCA-type","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0029,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0030_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0030_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0030,0.765
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0031_ESMFold_ADP-ribosylglycohydrolase_family_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0031_ESMFold_ADP-ribosylglycohydrolase_family_protein.pdb,ESMFold,ADP-ribosylglycohydrolase family protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0031,0.968
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0032_ESMFold_B12-binding_domain-containing_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0032_ESMFold_B12-binding_domain-containing_protein.pdb,ESMFold,B12-binding domain-containing protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0032,0.667
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0033_ESMFold_D-lysine_5-6-aminomutase_subunit_alpha.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0033_ESMFold_D-lysine_5-6-aminomutase_subunit_alpha.pdb,ESMFold,"D-lysine 5,6-aminomutase subunit alpha","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0033,0.839
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0034_ESMFold_endonuclease_MutS2.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0034_ESMFold_endonuclease_MutS2.pdb,ESMFold,endonuclease MutS2,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0034,0.954
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0035_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0035_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0035,0.959
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0036_ESMFold_lysine_2-3-aminomutase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0036_ESMFold_lysine_2-3-aminomutase.pdb,ESMFold,"lysine 2,3-aminomutase","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0036,0.893
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0037_ESMFold_L-erythro-3-5-diaminohexanoate_dehydrogenase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0037_ESMFold_L-erythro-3-5-diaminohexanoate_dehydrogenase.pdb,ESMFold,"L-erythro-3,5-diaminohexanoate dehydrogenase","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0037,0.836
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0038_ESMFold_butyrate--acetoacetate_CoA-transferase_subunit_B.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0038_ESMFold_butyrate--acetoacetate_CoA-transferase_subunit_B.pdb,ESMFold,butyrate--acetoacetate CoA-transferase subunit B,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0038,0.909
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0039_ESMFold_CoA_transferase_subunit_A.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0039_ESMFold_CoA_transferase_subunit_A.pdb,ESMFold,CoA transferase subunit A,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0039,0.918
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0040_ESMFold_Lrp-AsnC_family_transcriptional_regulator.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0040_ESMFold_Lrp-AsnC_family_transcriptional_regulator.pdb,ESMFold,Lrp-AsnC family transcriptional regulator,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0040,0.692
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0041_ESMFold_cytosol_nonspecific_dipeptidase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0041_ESMFold_cytosol_nonspecific_dipeptidase.pdb,ESMFold,cytosol nonspecific dipeptidase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0041,0.912
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0042_ESMFold_3-keto-5-aminohexanoate_cleavage_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0042_ESMFold_3-keto-5-aminohexanoate_cleavage_protein.pdb,ESMFold,3-keto-5-aminohexanoate cleavage protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0042,0.948
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0043_ESMFold_glutamate-1-semialdehyde_2-1-aminomutase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0043_ESMFold_glutamate-1-semialdehyde_2-1-aminomutase.pdb,ESMFold,"glutamate-1-semialdehyde 2,1-aminomutase","""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0043,0.898
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0044_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0044_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0044,0.534
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0045_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0045_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: GTPase HflX ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0045,0.874
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0046_ESMFold_multiprotein_bridging_factor_aMBF1.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0046_ESMFold_multiprotein_bridging_factor_aMBF1.pdb,ESMFold,multiprotein bridging factor aMBF1,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0046,0.429
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0047_ESMFold_peptide-methionine_-S--S-oxide_reductase_MsrA.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0047_ESMFold_peptide-methionine_-S--S-oxide_reductase_MsrA.pdb,ESMFold,peptide-methionine -S--S-oxide reductase MsrA,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0047,0.875
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0048_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0048_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0048,0.613
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0049_ESMFold_tyrosine_decarboxylase_MfnA.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0049_ESMFold_tyrosine_decarboxylase_MfnA.pdb,ESMFold,tyrosine decarboxylase MfnA,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0049,0.731
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0050_ESMFold_ATP-dependent_helicase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0050_ESMFold_ATP-dependent_helicase.pdb,ESMFold,ATP-dependent helicase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0050,0.871
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0051_ESMFold_FGGY-family_carbohydrate_kinase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0051_ESMFold_FGGY-family_carbohydrate_kinase.pdb,ESMFold,FGGY-family carbohydrate kinase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0051,0.967
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0052_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0052_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Uncharacterized transporter AF_0266 ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0052,0.917
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0053_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0053_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: HTH-type transcriptional regulator FL11 ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0053,0.806
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0054_ESMFold_Lrp-AsnC_ligand_binding_domain-containing_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0054_ESMFold_Lrp-AsnC_ligand_binding_domain-containing_protein.pdb,ESMFold,Lrp-AsnC ligand binding domain-containing protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0054,0.806
