original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_00360 lysine 2,3-aminomutase	LOKIASV2_0036_ESMFold_lysine_2-3-aminomutase	AF-Q9XBQ8-F1-model_v4	L-lysine 2,3-aminomutase 	0.692	418	127	2	419	1	414	2.242E-62	2105
>LOKIASV2_00370 L-erythro-3,5-diaminohexanoate dehydrogenase	LOKIASV2_0037_ESMFold_L-erythro-3-5-diaminohexanoate_dehydrogenase	AF-E3PRJ9-F1-model_v4	L-erythro-3,5-diaminohexanoate dehydrogenase 	0.645	344	121	3	346	2	344	1.412E-48	1631
>LOKIASV2_00380 butyrate--acetoacetate CoA-transferase subunit B	LOKIASV2_0038_ESMFold_butyrate--acetoacetate_CoA-transferase_subunit_B	AF-P23673-F1-model_v4	Butyrate--acetoacetate CoA-transferase subunit B 	0.542	221	100	1	221	1	220	1.078E-33	1364
>LOKIASV2_00390 CoA transferase subunit A	LOKIASV2_0039_ESMFold_CoA_transferase_subunit_A	AF-P33752-F1-model_v4	Butyrate--acetoacetate CoA-transferase subunit A 	0.451	217	117	3	219	4	218	5.973E-29	1176
>LOKIASV2_00400 Lrp-AsnC family transcriptional regulator	LOKIASV2_0040_ESMFold_Lrp-AsnC_family_transcriptional_regulator	AF-Q9V1E5-F1-model_v4	Uncharacterized HTH-type transcriptional regulator PYRAB04820 	0.283	141	100	8	148	2	141	3.729E-13	475
>LOKIASV2_00410 cytosol nonspecific dipeptidase	LOKIASV2_0041_ESMFold_cytosol_nonspecific_dipeptidase	AF-P15288-F1-model_v4	Cytosol non-specific dipeptidase 	0.214	494	372	1	494	7	480	9.552E-42	1363
>LOKIASV2_00420 3-keto-5-aminohexanoate cleavage protein	LOKIASV2_0042_ESMFold_3-keto-5-aminohexanoate_cleavage_protein	AF-E3PRK0-F1-model_v4	3-keto-5-aminohexanoate cleavage enzyme 	0.709	272	79	1	272	1	272	4.753E-48	1838
>LOKIASV2_00430 glutamate-1-semialdehyde 2,1-aminomutase	LOKIASV2_0043_ESMFold_glutamate-1-semialdehyde_2-1-aminomutase	AF-B0VH76-F1-model_v4	3-aminobutyryl-CoA aminotransferase 	0.644	414	147	9	422	1	414	6.174E-61	2414
>LOKIASV2_00440 hypothetical protein	LOKIASV2_0044_ESMFold_hypothetical_protein	5jpq-assembly1.cif.gz_j	Cryo-EM structure of the 90S pre-ribosome 	0.146	84	64	81	164	204	279	0.05433	56
>LOKIASV2_00450 hypothetical protein	LOKIASV2_0045_ESMFold_hypothetical_protein	AF-Q04PB3-F1-model_v4	GTPase HflX 	0.268	423	303	2	424	40	454	1.365E-29	905
>LOKIASV2_00460 multiprotein bridging factor aMBF1	LOKIASV2_0046_ESMFold_multiprotein_bridging_factor_aMBF1	AF-Q58006-F1-model_v4	Uncharacterized HTH-type transcriptional regulator MJ0586 	0.215	159	114	2	160	4	149	0.0000000351	196
>LOKIASV2_00470 peptide-methionine -S--S-oxide reductase MsrA	LOKIASV2_0047_ESMFold_peptide-methionine_-S--S-oxide_reductase_MsrA	AF-O26635-F1-model_v4	Peptide methionine sulfoxide reductase MsrA 	0.545	165	73	1	165	1	162	2.697E-24	886
>LOKIASV2_00480 hypothetical protein	LOKIASV2_0048_ESMFold_hypothetical_protein	AF-Q8U1Z3-F1-model_v4	Small archaeal modifier protein 2 	0.297	47	32	22	68	23	69	0.02368	129
>LOKIASV2_00490 tyrosine decarboxylase MfnA	LOKIASV2_0049_ESMFold_tyrosine_decarboxylase_MfnA	AF-O27188-F1-model_v4	Probable L-tyrosine/L-aspartate decarboxylase 	0.378	357	217	61	417	9	358	5.082E-30	1022
>LOKIASV2_00500 ATP-dependent helicase	LOKIASV2_0050_ESMFold_ATP-dependent_helicase	AF-Q4ULN5-F1-model_v4	Probable DNA helicase II homolog 	0.295	652	446	21	672	9	642	7.18E-49	1879
>LOKIASV2_00510 FGGY-family carbohydrate kinase	LOKIASV2_0051_ESMFold_FGGY-family_carbohydrate_kinase	AF-P21939-F1-model_v4	Xylulose kinase 	0.26	523	369	3	525	2	500	8.94E-45	1722
>LOKIASV2_00520 hypothetical protein	LOKIASV2_0052_ESMFold_hypothetical_protein	AF-O29973-F1-model_v4	Uncharacterized transporter AF_0266 	0.179	345	222	9	353	2	272	0.0000002364	317
>LOKIASV2_00530 hypothetical protein	LOKIASV2_0053_ESMFold_hypothetical_protein	AF-O59188-F1-model_v4	HTH-type transcriptional regulator FL11 	0.265	79	57	6	84	67	145	0.0000001592	304
>LOKIASV2_00540 Lrp-AsnC ligand binding domain-containing protein	LOKIASV2_0054_ESMFold_Lrp-AsnC_ligand_binding_domain-containing_protein	2e1a-assembly1.cif.gz_B	crystal structure of FFRP-DM1 	0.306	75	51	1	75	1	75	0.0000001449	306
>LOKIASV2_00550 nucleotide pyrophosphohydrolase	LOKIASV2_0055_ESMFold_nucleotide_pyrophosphohydrolase	AF-P42979-F1-model_v4	Uncharacterized protein YpjD 	0.463	97	51	2	97	7	103	0.0000007035	270
>LOKIASV2_00560 hypothetical protein	LOKIASV2_0056_ESMFold_hypothetical_protein	AF-Q5LR07-F1-model_v4	Serine--tRNA ligase 	0.26	69	50	82	150	33	101	1.844	82
>LOKIASV2_00570 hypothetical protein	LOKIASV2_0057_ESMFold_hypothetical_protein	AF-P34139-F1-model_v4	Ras-related protein Rab-1A 	0.402	169	100	2	169	3	171	1.267E-24	850
>LOKIASV2_00580 hypothetical protein	LOKIASV2_0058_ESMFold_hypothetical_protein	5t7a-assembly2.cif.gz_B	Crystal structure of Br derivative BhCBM56 	0.192	78	57	26	103	20	91	0.00002649	191
>LOKIASV2_00590 hypothetical protein	LOKIASV2_0059_ESMFold_hypothetical_protein	AF-Q8NA56-F1-model_v4	Tetratricopeptide repeat protein 29 	0.123	97	84	2	98	309	405	0.004978	176
>LOKIASV2_00600 hypothetical protein	LOKIASV2_0060_ESMFold_hypothetical_protein	AF-Q52965-F1-model_v4	PhaF2 protein 	0.119	92	72	9	100	4	86	0.9355	70
>LOKIASV2_00610 nascent polypeptide-associated complex protein	LOKIASV2_0061_ESMFold_nascent_polypeptide-associated_complex_protein	AF-Q9HS36-F1-model_v4	Nascent polypeptide-associated complex protein 	0.246	138	96	31	168	1	128	0.000000001449	258
>LOKIASV2_00620 hypothetical protein	LOKIASV2_0062_ESMFold_hypothetical_protein	AF-A5UNI4-F1-model_v4	tRNA-guanine(15) transglycosylase 	0.357	151	95	12	162	510	657	1.867E-17	588
>LOKIASV2_00630 proteasome-activating nucleotidase	LOKIASV2_0063_ESMFold_proteasome-activating_nucleotidase	AF-Q8U4H3-F1-model_v4	Proteasome-activating nucleotidase 	0.558	376	164	25	400	15	387	1.37E-47	1594
>LOKIASV2_00640 hypothetical protein	LOKIASV2_0064_ESMFold_hypothetical_protein	AF-Q6LMT7-F1-model_v4	Protein-L-isoaspartate O-methyltransferase 	0.223	219	162	2	220	1	209	9.268E-19	664
>LOKIASV2_00650 hypothetical protein	LOKIASV2_0065_ESMFold_hypothetical_protein	AF-Q57912-F1-model_v4	Uncharacterized protein MJ0488 	0.203	54	42	22	75	89	142	2.628	40
>LOKIASV2_00660 hypothetical protein	LOKIASV2_0066_ESMFold_hypothetical_protein	5of4-assembly1.cif.gz_E	The cryo-EM structure of human TFIIH 	0.128	184	156	13	196	1	180	0.00000002056	231
>LOKIASV2_00670 hypothetical protein	LOKIASV2_0067_ESMFold_hypothetical_protein	AF-Q54IK1-F1-model_v4	Ras-related GTP-binding protein A 	0.2	326	239	4	329	1	300	3.11E-17	546
>LOKIASV2_00680 hypothetical protein	LOKIASV2_0068_ESMFold_hypothetical_protein	4r3k-assembly1.cif.gz_A	Crystal structure of Ard1 N-terminal acetyltransferase from Sulfolobus solfataricus bound to CoA 	0.418	157	90	8	164	1	156	2.188E-19	715
>LOKIASV2_00690 4-phosphopantoate--beta-alanine ligase	LOKIASV2_0069_ESMFold_4-phosphopantoate--beta-alanine_ligase	AF-B6YXQ1-F1-model_v4	4-phosphopantoate--beta-alanine ligase 	0.472	255	134	7	261	1	254	2.25E-24	1039
>LOKIASV2_00700 peptide chain release factor aRF-1	LOKIASV2_0070_ESMFold_peptide_chain_release_factor_aRF-1	AF-Q58239-F1-model_v4	Peptide chain release factor subunit 1 	0.432	419	236	7	423	3	421	2.483E-51	1790
>LOKIASV2_00710 pantoate kinase	LOKIASV2_0071_ESMFold_pantoate_kinase	AF-Q58379-F1-model_v4	Pantoate kinase 	0.287	298	190	15	312	1	268	3.869E-25	856
>LOKIASV2_00720 UMP kinase	LOKIASV2_0072_ESMFold_UMP_kinase	AF-Q2NEL4-F1-model_v4	Uridylate kinase 	0.341	232	146	26	257	2	223	5.943E-25	876
>LOKIASV2_00730 hypothetical protein	LOKIASV2_0073_ESMFold_hypothetical_protein	AF-Q58354-F1-model_v4	Uncharacterized protein MJ0944 	0.166	84	62	22	105	12	86	0.001185	131
>LOKIASV2_00740 hypothetical protein	LOKIASV2_0074_ESMFold_hypothetical_protein	AF-Q969R5-F1-model_v4	Lethal(3)malignant brain tumor-like protein 2 	0.244	49	32	18	60	84	132	0.5478	62
>LOKIASV2_00750 hypothetical protein	LOKIASV2_0075_ESMFold_hypothetical_protein	AF-P0C8Z5-F1-model_v4	Proteasome assembly chaperone 4 	0.155	116	96	1	115	14	129	0.000001202	199
>LOKIASV2_00760 inosine-xanthosine triphosphatase	LOKIASV2_0076_ESMFold_inosine-xanthosine_triphosphatase	AF-Q5JJ32-F1-model_v4	Probable inosine/xanthosine triphosphatase 	0.358	187	112	1	187	1	176	1.411E-20	716
>LOKIASV2_00770 hypothetical protein	LOKIASV2_0077_ESMFold_hypothetical_protein	AF-Q53B90-F1-model_v4	Ras-related protein Rab-43 	0.388	168	102	1	168	12	179	2.633E-20	749
>LOKIASV2_00780 phosphoadenosine phosphosulfate reductase family protein	LOKIASV2_0078_ESMFold_phosphoadenosine_phosphosulfate_reductase_family_protein	AF-Q60377-F1-model_v4	Uncharacterized protein MJ0066 	0.32	523	321	1	523	4	476	1.401E-40	1546
>LOKIASV2_00790 HD domain-containing protein	LOKIASV2_0079_ESMFold_HD_domain-containing_protein	AF-B0G107-F1-model_v4	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog 	0.241	419	312	3	414	76	494	6.241E-22	922
>LOKIASV2_00800 hypothetical protein	LOKIASV2_0080_ESMFold_hypothetical_protein	AF-P35883-F1-model_v4	Transposase for insertion sequence element IS6120 	0.135	59	48	61	117	46	104	1.189	48
>LOKIASV2_00810 hypothetical protein	LOKIASV2_0081_ESMFold_hypothetical_protein	AF-Q975R9-F1-model_v4	DNA-directed RNA polymerase subunit P 	0.437	48	25	2	49	3	48	0.0003201	170
>LOKIASV2_00820 transcription initiation factor IIB	LOKIASV2_0082_ESMFold_transcription_initiation_factor_IIB	AF-Q8TT29-F1-model_v4	Transcription initiation factor IIB 	0.473	304	160	7	310	34	337	7.177E-25	1131
>LOKIASV2_00830 hypothetical protein	LOKIASV2_0083_ESMFold_hypothetical_protein	7c2f-assembly2.cif.gz_D	Crystal Structure of the Thorarchaeota ProGel/rabbit actin complex 	0.088	86	77	2	86	1	86	0.0000252	165
>LOKIASV2_00840 hypothetical protein	LOKIASV2_0084_ESMFold_hypothetical_protein	AF-A0A1Q9N7W7-F1-model_v4	Odin profilin 	0.28	125	84	3	127	1	117	5.949E-10	380
>LOKIASV2_00850 hypothetical protein	LOKIASV2_0085_ESMFold_hypothetical_protein	AF-Q6ZN55-F1-model_v4	Zinc finger protein 574 	0.26	46	33	57	102	316	361	0.8978	56
>LOKIASV2_00860 hypothetical protein	LOKIASV2_0086_ESMFold_hypothetical_protein	AF-Q8GYX2-F1-model_v4	FCS-Like Zinc finger 14 	0.086	46	40	141	185	118	163	1.262	51
>LOKIASV2_00870 2-dehydropantoate 2-reductase	LOKIASV2_0087_ESMFold_2-dehydropantoate_2-reductase	AF-Q9V0N0-F1-model_v4	2-dehydropantoate 2-reductase 	0.302	318	207	4	321	1	297	9.065E-24	875
>LOKIASV2_00880 DUF72 domain-containing protein	LOKIASV2_0088_ESMFold_DUF72_domain-containing_protein	AF-O32135-F1-model_v4	UPF0759 protein YunF 	0.249	269	201	9	276	2	270	2.909E-17	549
>LOKIASV2_00890 3-methyl-2-oxobutanoate hydroxymethyltransferase	LOKIASV2_0089_ESMFold_3-methyl-2-oxobutanoate_hydroxymethyltransferase	AF-B0K365-F1-model_v4	3-methyl-2-oxobutanoate hydroxymethyltransferase 	0.509	269	131	4	271	2	270	4.094E-41	1554
>LOKIASV2_00900 cell division protein FtsZ	LOKIASV2_0090_ESMFold_cell_division_protein_FtsZ	AF-Q58039-F1-model_v4	Cell division protein FtsZ 2 	0.541	338	154	2	339	16	352	3.682E-49	1688
>LOKIASV2_00910 diaminopimelate decarboxylase	LOKIASV2_0091_ESMFold_diaminopimelate_decarboxylase	AF-Q58497-F1-model_v4	Diaminopimelate decarboxylase 	0.19	416	318	7	400	2	417	5.331E-34	1071
>LOKIASV2_00920 glycosyltransferase family 4 protein	LOKIASV2_0092_ESMFold_glycosyltransferase_family_4_protein	AF-Q59002-F1-model_v4	Uncharacterized glycosyltransferase MJ1607 	0.159	443	327	1	443	1	390	3.762E-22	700
>LOKIASV2_00930 hypothetical protein	LOKIASV2_0093_ESMFold_hypothetical_protein	AF-Q58447-F1-model_v4	Probable transcription termination protein NusA 	0.188	142	114	18	159	3	143	0.000000006959	283
>LOKIASV2_00940 hypothetical protein	LOKIASV2_0094_ESMFold_hypothetical_protein	AF-Q55FI7-F1-model_v4	Zinc finger SWIM domain-containing protein 7 homolog 	0.206	118	92	9	125	19	136	0.0000004554	254
>LOKIASV2_00950 KH domain-containing protein	LOKIASV2_0095_ESMFold_KH_domain-containing_protein	AF-Q57885-F1-model_v4	KH domain-containing protein MJ0443 	0.376	191	109	1	191	19	194	1.541E-16	667
>LOKIASV2_00960 serine-threonine-protein kinase Rio1	LOKIASV2_0096_ESMFold_serine-threonine-protein_kinase_Rio1	AF-Q54VD8-F1-model_v4	Serine/threonine-protein kinase rio1 	0.359	226	144	33	258	163	388	9.323E-22	803
>LOKIASV2_00970 hypothetical protein	LOKIASV2_0097_ESMFold_hypothetical_protein	AF-Q59044-F1-model_v4	Uncharacterized protein MJ1650 	0.19	308	246	1	308	16	320	1.631E-23	711
>LOKIASV2_00980 hypothetical protein	LOKIASV2_0098_ESMFold_hypothetical_protein	2qya-assembly2.cif.gz_D	Crystal structure of an uncharacterized conserved protein from Methanopyrus kandleri 	0.203	103	74	1	94	1	103	0.000000001783	296
>LOKIASV2_00990 translation initiation factor IF-2 subunit beta	LOKIASV2_0099_ESMFold_translation_initiation_factor_IF-2_subunit_beta	AF-O27958-F1-model_v4	Translation initiation factor 2 subunit beta 	0.363	132	83	7	137	5	136	8.147E-16	602
>LOKIASV2_01000 OB-fold nucleic acid binding domain-containing protein	LOKIASV2_0100_ESMFold_OB-fold_nucleic_acid_binding_domain-containing_protein	AF-Q6H7J5-F1-model_v4	Replication protein A 32 kDa subunit B 	0.143	280	216	1	280	42	294	2.33E-15	349
>LOKIASV2_01010 hypothetical protein	LOKIASV2_0101_ESMFold_hypothetical_protein	AF-Q8CHX6-F1-model_v4	Membrane-bound transcription factor site-2 protease 	0.176	557	377	3	559	17	474	2.244E-16	423
>LOKIASV2_01020 TIGR00269 family protein	LOKIASV2_0102_ESMFold_TIGR00269_family_protein	AF-Q58558-F1-model_v4	Probable sulfurtransferase 	0.34	324	201	4	327	34	338	1.244E-27	999
>LOKIASV2_01030 hypothetical protein	LOKIASV2_0103_ESMFold_hypothetical_protein	3lrq-assembly1.cif.gz_A	Crystal structure of the U-box domain of human ubiquitin-protein ligase (E3), NORTHEAST STRUCTURAL GENOMICS CONSORTIUM TARGET HR4604D. 	0.288	51	34	120	170	12	60	0.008862	115
>LOKIASV2_01040 hypothetical protein	LOKIASV2_0104_ESMFold_hypothetical_protein	AF-O27438-F1-model_v4	Replication factor A 	0.19	501	400	63	557	287	787	2.735E-34	716
>LOKIASV2_01050 protein-L-isoaspartate O-methyltransferase	LOKIASV2_0105_ESMFold_protein-L-isoaspartate_O-methyltransferase	AF-Q57636-F1-model_v4	Protein-L-isoaspartate O-methyltransferase 	0.474	215	111	8	222	4	215	6.34E-31	1205
>LOKIASV2_01060 DUF367 family protein	LOKIASV2_0106_ESMFold_DUF367_family_protein	AF-Q2NET3-F1-model_v4	16S rRNA aminocarboxypropyltransferase 	0.4	145	85	6	148	1	145	2.664E-17	598
>LOKIASV2_01070 hypothetical protein	LOKIASV2_0107_ESMFold_hypothetical_protein	AF-B5X7X4-F1-model_v4	Ragulator complex protein LAMTOR2 	0.147	128	102	1	128	1	120	0.00003675	196
>LOKIASV2_01080 S-methyl-5'-thioadenosine phosphorylase	LOKIASV2_0108_ESMFold_S-methyl-5--thioadenosine_phosphorylase	AF-Q8U4Q8-F1-model_v4	S-methyl-5'-thioadenosine phosphorylase 	0.478	280	133	8	287	2	257	2.599E-37	1342
>LOKIASV2_01090 hypothetical protein	LOKIASV2_0109_ESMFold_hypothetical_protein	3vr0-assembly1.cif.gz_B	Crystal structure of Pyrococcus furiosus PbaB, an archaeal proteasome activator 	0.232	247	186	11	257	1	243	4.644E-20	633
>LOKIASV2_01100 7-cyano-7-deazaguanine synthase	LOKIASV2_0110_ESMFold_7-cyano-7-deazaguanine_synthase	AF-A3DEB6-F1-model_v4	Probable tRNA sulfurtransferase 	0.291	211	149	12	222	180	390	1.307E-20	771
>LOKIASV2_01110 thermosome subunit beta	LOKIASV2_0111_ESMFold_thermosome_subunit_beta	AF-Q9V2T3-F1-model_v4	Thermosome subunit beta 	0.462	502	270	21	522	1	502	2.336E-54	2581
>LOKIASV2_01120 hypothetical protein	LOKIASV2_0112_ESMFold_hypothetical_protein	AF-Q4JAQ5-F1-model_v4	DNA import protein CedB 	0.184	375	285	108	482	247	596	4.568E-15	493
>LOKIASV2_01130 redox-regulated ATPase YchF	LOKIASV2_0113_ESMFold_redox-regulated_ATPase_YchF	AF-Q58728-F1-model_v4	Uncharacterized GTP-binding protein MJ1332 	0.465	400	209	2	401	3	393	7.733E-46	1761
>LOKIASV2_01140 hypothetical protein	LOKIASV2_ORF_0114 not PDB100 or Swiss-Prot hit											
>LOKIASV2_01150 hypothetical protein	LOKIASV2_0115_ESMFold_hypothetical_protein	AF-P52848-F1-model_v4	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 	0.094	53	47	22	74	6	58	3.413	39
>LOKIASV2_01160 hypothetical protein	LOKIASV2_0116_ESMFold_hypothetical_protein	AF-Q9V8I2-F1-model_v4	Ragulator complex protein LAMTOR2 homolog 	0.133	126	104	178	303	4	124	0.00006972	195
>LOKIASV2_01170 hypothetical protein	LOKIASV2_0117_ESMFold_hypothetical_protein	AF-Q1LX49-F1-model_v4	DENN domain-containing protein 11 	0.128	278	180	3	280	273	479	0.001159	95
>LOKIASV2_01180 ADP-ribosylation factor-like protein	LOKIASV2_0118_ESMFold_ADP-ribosylation_factor-like_protein	6h5b-assembly1.cif.gz_A	Myxococcus xanthus MglA in complex with its GAP MglB and GTPgammaS 	0.352	187	119	1	185	1	187	5.189E-18	617
>LOKIASV2_01190 hypothetical protein	LOKIASV2_0119_ESMFold_hypothetical_protein	7f6l-assembly1.cif.gz_A	Crystal structure of human MUS81-EME2 complex 	0.089	98	83	25	122	61	152	0.7256	43
