24/09/06 10:07:00 | INFO | root | Reading sequences from loki-ASV2_dfast_all_protein_ORFs.faa
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_14190 hypothetical protein with length 39, pLDDT 80.9, pTM 0.578 in 0.1s (amortized, batch size 29). 27 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_17700 hypothetical protein with length 39, pLDDT 78.9, pTM 0.519 in 0.1s (amortized, batch size 29). 28 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_25970 hypothetical protein with length 39, pLDDT 37.6, pTM 0.113 in 0.1s (amortized, batch size 29). 29 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_40920 hypothetical protein with length 39, pLDDT 53.6, pTM 0.303 in 0.1s (amortized, batch size 24). 30 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_41480 hypothetical protein with length 39, pLDDT 49.9, pTM 0.297 in 0.1s (amortized, batch size 24). 31 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_08800 hypothetical protein with length 40, pLDDT 89.0, pTM 0.742 in 0.1s (amortized, batch size 24). 32 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_26560 hypothetical protein with length 40, pLDDT 75.0, pTM 0.501 in 0.1s (amortized, batch size 24). 33 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_42630 hypothetical protein with length 40, pLDDT 64.4, pTM 0.375 in 0.1s (amortized, batch size 24). 34 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_07710 hypothetical protein with length 41, pLDDT 77.4, pTM 0.567 in 0.1s (amortized, batch size 24). 35 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_12870 hypothetical protein with length 41, pLDDT 46.7, pTM 0.118 in 0.1s (amortized, batch size 24). 36 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_03370 hypothetical protein with length 42, pLDDT 74.1, pTM 0.479 in 0.1s (amortized, batch size 24). 37 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_04660 hypothetical protein with length 42, pLDDT 46.6, pTM 0.179 in 0.1s (amortized, batch size 24). 38 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_19690 hypothetical protein with length 42, pLDDT 37.2, pTM 0.122 in 0.1s (amortized, batch size 24). 39 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_21530 hypothetical protein with length 42, pLDDT 82.2, pTM 0.573 in 0.1s (amortized, batch size 24). 40 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_01630 hypothetical protein with length 43, pLDDT 63.6, pTM 0.354 in 0.1s (amortized, batch size 24). 41 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_07490 hypothetical protein with length 43, pLDDT 62.4, pTM 0.360 in 0.1s (amortized, batch size 24). 42 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_14160 hypothetical protein with length 43, pLDDT 56.5, pTM 0.313 in 0.1s (amortized, batch size 24). 43 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_23870 hypothetical protein with length 43, pLDDT 66.8, pTM 0.381 in 0.1s (amortized, batch size 24). 44 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_44810 hypothetical protein with length 43, pLDDT 68.7, pTM 0.464 in 0.1s (amortized, batch size 24). 45 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_05160 hypothetical protein with length 44, pLDDT 49.8, pTM 0.226 in 0.1s (amortized, batch size 24). 46 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_16610 hypothetical protein with length 44, pLDDT 77.1, pTM 0.582 in 0.1s (amortized, batch size 24). 47 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_22020 hypothetical protein with length 44, pLDDT 56.3, pTM 0.294 in 0.1s (amortized, batch size 24). 48 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_28020 hypothetical protein with length 44, pLDDT 62.7, pTM 0.384 in 0.1s (amortized, batch size 24). 49 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_28210 hypothetical protein with length 44, pLDDT 50.9, pTM 0.292 in 0.1s (amortized, batch size 24). 50 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_29030 hypothetical protein with length 44, pLDDT 73.5, pTM 0.492 in 0.1s (amortized, batch size 24). 51 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_16680 hypothetical protein with length 45, pLDDT 74.0, pTM 0.504 in 0.1s (amortized, batch size 24). 52 / 4544 completed.
24/09/06 10:07:57 | INFO | root | Predicted structure for LOKIASV2_16800 hypothetical protein with length 45, pLDDT 70.5, pTM 0.441 in 0.1s (amortized, batch size 24). 53 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_22490 hypothetical protein with length 45, pLDDT 70.4, pTM 0.479 in 0.1s (amortized, batch size 21). 54 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_24650 hypothetical protein with length 45, pLDDT 46.8, pTM 0.118 in 0.1s (amortized, batch size 21). 55 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_09440 hypothetical protein with length 46, pLDDT 57.2, pTM 0.312 in 0.1s (amortized, batch size 21). 56 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_14000 hypothetical protein with length 46, pLDDT 40.7, pTM 0.179 in 0.1s (amortized, batch size 21). 57 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_14460 hypothetical protein with length 46, pLDDT 69.2, pTM 0.454 in 0.1s (amortized, batch size 21). 58 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_26610 hypothetical protein with length 46, pLDDT 70.6, pTM 0.412 in 0.1s (amortized, batch size 21). 59 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_26640 hypothetical protein with length 46, pLDDT 48.8, pTM 0.288 in 0.1s (amortized, batch size 21). 60 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_40890 hypothetical protein with length 46, pLDDT 54.4, pTM 0.295 in 0.1s (amortized, batch size 21). 61 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_19750 hypothetical protein with length 47, pLDDT 70.7, pTM 0.441 in 0.1s (amortized, batch size 21). 62 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_21730 hypothetical protein with length 47, pLDDT 73.7, pTM 0.478 in 0.1s (amortized, batch size 21). 63 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_32910 hypothetical protein with length 47, pLDDT 53.8, pTM 0.330 in 0.1s (amortized, batch size 21). 64 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_10220 hypothetical protein with length 48, pLDDT 74.9, pTM 0.542 in 0.1s (amortized, batch size 21). 65 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_23080 hypothetical protein with length 48, pLDDT 82.1, pTM 0.671 in 0.1s (amortized, batch size 21). 66 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_27650 hypothetical protein with length 48, pLDDT 56.7, pTM 0.317 in 0.1s (amortized, batch size 21). 67 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_30410 hypothetical protein with length 48, pLDDT 42.5, pTM 0.169 in 0.1s (amortized, batch size 21). 68 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_36770 hypothetical protein with length 48, pLDDT 50.6, pTM 0.349 in 0.1s (amortized, batch size 21). 69 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_39880 hypothetical protein with length 48, pLDDT 70.4, pTM 0.467 in 0.1s (amortized, batch size 21). 70 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_00810 hypothetical protein with length 49, pLDDT 66.5, pTM 0.401 in 0.1s (amortized, batch size 21). 71 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_12790 hypothetical protein with length 49, pLDDT 36.4, pTM 0.164 in 0.1s (amortized, batch size 21). 72 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_19330 hypothetical protein with length 49, pLDDT 74.7, pTM 0.506 in 0.1s (amortized, batch size 21). 73 / 4544 completed.
24/09/06 10:07:59 | INFO | root | Predicted structure for LOKIASV2_23930 hypothetical protein with length 49, pLDDT 80.3, pTM 0.616 in 0.1s (amortized, batch size 21). 74 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_08110 hypothetical protein with length 50, pLDDT 46.0, pTM 0.314 in 0.2s (amortized, batch size 19). 75 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_14640 hypothetical protein with length 50, pLDDT 53.3, pTM 0.327 in 0.2s (amortized, batch size 19). 76 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_14830 hypothetical protein with length 50, pLDDT 77.9, pTM 0.707 in 0.2s (amortized, batch size 19). 77 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_21970 hypothetical protein with length 50, pLDDT 44.8, pTM 0.197 in 0.2s (amortized, batch size 19). 78 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_27410 hypothetical protein with length 50, pLDDT 46.1, pTM 0.163 in 0.2s (amortized, batch size 19). 79 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_27850 hypothetical protein with length 50, pLDDT 70.0, pTM 0.480 in 0.2s (amortized, batch size 19). 80 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_40060 hypothetical protein with length 50, pLDDT 60.0, pTM 0.419 in 0.2s (amortized, batch size 19). 81 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_01450 hypothetical protein with length 51, pLDDT 79.0, pTM 0.663 in 0.2s (amortized, batch size 19). 82 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_09720 hypothetical protein with length 51, pLDDT 44.5, pTM 0.284 in 0.2s (amortized, batch size 19). 83 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_10150 hypothetical protein with length 51, pLDDT 42.6, pTM 0.104 in 0.2s (amortized, batch size 19). 84 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_08790 rubredoxin with length 52, pLDDT 92.0, pTM 0.805 in 0.2s (amortized, batch size 19). 85 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_14260 hypothetical protein with length 52, pLDDT 56.6, pTM 0.416 in 0.2s (amortized, batch size 19). 86 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_28840 hypothetical protein with length 52, pLDDT 68.8, pTM 0.423 in 0.2s (amortized, batch size 19). 87 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_35950 hypothetical protein with length 52, pLDDT 65.7, pTM 0.464 in 0.2s (amortized, batch size 19). 88 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_07300 hypothetical protein with length 53, pLDDT 52.8, pTM 0.284 in 0.2s (amortized, batch size 19). 89 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_07500 hypothetical protein with length 53, pLDDT 69.8, pTM 0.549 in 0.2s (amortized, batch size 19). 90 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_22560 hypothetical protein with length 53, pLDDT 83.5, pTM 0.753 in 0.2s (amortized, batch size 19). 91 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_24040 hypothetical protein with length 53, pLDDT 58.5, pTM 0.435 in 0.2s (amortized, batch size 19). 92 / 4544 completed.
24/09/06 10:08:02 | INFO | root | Predicted structure for LOKIASV2_27970 hypothetical protein with length 53, pLDDT 52.8, pTM 0.287 in 0.2s (amortized, batch size 19). 93 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_42550 hypothetical protein with length 53, pLDDT 63.0, pTM 0.352 in 0.2s (amortized, batch size 18). 94 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_16840 hypothetical protein with length 54, pLDDT 50.9, pTM 0.268 in 0.2s (amortized, batch size 18). 95 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_40520 hypothetical protein with length 54, pLDDT 69.1, pTM 0.573 in 0.2s (amortized, batch size 18). 96 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_44400 hypothetical protein with length 54, pLDDT 79.0, pTM 0.585 in 0.2s (amortized, batch size 18). 97 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_44930 hypothetical protein with length 54, pLDDT 80.4, pTM 0.475 in 0.2s (amortized, batch size 18). 98 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_02420 hypothetical protein with length 55, pLDDT 48.1, pTM 0.316 in 0.2s (amortized, batch size 18). 99 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_05190 hypothetical protein with length 55, pLDDT 54.7, pTM 0.241 in 0.2s (amortized, batch size 18). 100 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_05340 30S ribosomal protein S14 with length 55, pLDDT 64.3, pTM 0.479 in 0.2s (amortized, batch size 18). 101 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_20070 hypothetical protein with length 55, pLDDT 68.9, pTM 0.475 in 0.2s (amortized, batch size 18). 102 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_29910 hypothetical protein with length 55, pLDDT 51.0, pTM 0.127 in 0.2s (amortized, batch size 18). 103 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_33530 hypothetical protein with length 55, pLDDT 71.5, pTM 0.464 in 0.2s (amortized, batch size 18). 104 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_41330 hypothetical protein with length 55, pLDDT 52.0, pTM 0.258 in 0.2s (amortized, batch size 18). 105 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_42640 hypothetical protein with length 55, pLDDT 37.3, pTM 0.097 in 0.2s (amortized, batch size 18). 106 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_45370 hypothetical protein with length 55, pLDDT 40.2, pTM 0.236 in 0.2s (amortized, batch size 18). 107 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_07280 hypothetical protein with length 56, pLDDT 69.3, pTM 0.553 in 0.2s (amortized, batch size 18). 108 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_13480 hypothetical protein with length 56, pLDDT 71.1, pTM 0.557 in 0.2s (amortized, batch size 18). 109 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_22380 hypothetical protein with length 56, pLDDT 50.2, pTM 0.312 in 0.2s (amortized, batch size 18). 110 / 4544 completed.
24/09/06 10:08:05 | INFO | root | Predicted structure for LOKIASV2_24330 hypothetical protein with length 56, pLDDT 72.3, pTM 0.554 in 0.2s (amortized, batch size 18). 111 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_24590 hypothetical protein with length 56, pLDDT 47.0, pTM 0.322 in 0.2s (amortized, batch size 17). 112 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_36050 hypothetical protein with length 56, pLDDT 72.1, pTM 0.608 in 0.2s (amortized, batch size 17). 113 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_36560 hypothetical protein with length 56, pLDDT 62.1, pTM 0.481 in 0.2s (amortized, batch size 17). 114 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_36590 hypothetical protein with length 56, pLDDT 81.0, pTM 0.683 in 0.2s (amortized, batch size 17). 115 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_08060 hypothetical protein with length 57, pLDDT 43.5, pTM 0.172 in 0.2s (amortized, batch size 17). 116 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_17980 hypothetical protein with length 57, pLDDT 80.4, pTM 0.673 in 0.2s (amortized, batch size 17). 117 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_18540 hypothetical protein with length 57, pLDDT 54.3, pTM 0.287 in 0.2s (amortized, batch size 17). 118 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_21590 hypothetical protein with length 57, pLDDT 68.9, pTM 0.593 in 0.2s (amortized, batch size 17). 119 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_23140 hypothetical protein with length 57, pLDDT 55.7, pTM 0.331 in 0.2s (amortized, batch size 17). 120 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_30400 hypothetical protein with length 57, pLDDT 71.8, pTM 0.459 in 0.2s (amortized, batch size 17). 121 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_34140 hypothetical protein with length 57, pLDDT 68.9, pTM 0.390 in 0.2s (amortized, batch size 17). 122 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_09250 hypothetical protein with length 58, pLDDT 69.4, pTM 0.422 in 0.2s (amortized, batch size 17). 123 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_14100 hypothetical protein with length 58, pLDDT 50.7, pTM 0.161 in 0.2s (amortized, batch size 17). 124 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_16500 hypothetical protein with length 58, pLDDT 47.9, pTM 0.259 in 0.2s (amortized, batch size 17). 125 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_18790 hypothetical protein with length 58, pLDDT 53.4, pTM 0.099 in 0.2s (amortized, batch size 17). 126 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_40210 hypothetical protein with length 58, pLDDT 36.9, pTM 0.158 in 0.2s (amortized, batch size 17). 127 / 4544 completed.
24/09/06 10:08:08 | INFO | root | Predicted structure for LOKIASV2_42490 hypothetical protein with length 58, pLDDT 44.8, pTM 0.105 in 0.2s (amortized, batch size 17). 128 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_06740 hypothetical protein with length 59, pLDDT 42.2, pTM 0.245 in 0.2s (amortized, batch size 17). 129 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_09410 hypothetical protein with length 59, pLDDT 40.2, pTM 0.249 in 0.2s (amortized, batch size 17). 130 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_11640 hypothetical protein with length 59, pLDDT 73.5, pTM 0.527 in 0.2s (amortized, batch size 17). 131 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_14220 hypothetical protein with length 59, pLDDT 83.1, pTM 0.584 in 0.2s (amortized, batch size 17). 132 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_14390 hypothetical protein with length 59, pLDDT 77.3, pTM 0.671 in 0.2s (amortized, batch size 17). 133 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_21020 hypothetical protein with length 59, pLDDT 41.4, pTM 0.232 in 0.2s (amortized, batch size 17). 134 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_22860 hypothetical protein with length 59, pLDDT 80.1, pTM 0.758 in 0.2s (amortized, batch size 17). 135 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_27150 hypothetical protein with length 59, pLDDT 44.4, pTM 0.217 in 0.2s (amortized, batch size 17). 136 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_31150 hypothetical protein with length 59, pLDDT 87.5, pTM 0.737 in 0.2s (amortized, batch size 17). 137 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_37990 hypothetical protein with length 59, pLDDT 52.1, pTM 0.311 in 0.2s (amortized, batch size 17). 138 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_01390 hypothetical protein with length 60, pLDDT 79.9, pTM 0.737 in 0.2s (amortized, batch size 17). 139 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_07970 hypothetical protein with length 60, pLDDT 48.1, pTM 0.295 in 0.2s (amortized, batch size 17). 140 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_08070 hypothetical protein with length 60, pLDDT 48.0, pTM 0.310 in 0.2s (amortized, batch size 17). 141 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_11660 hypothetical protein with length 60, pLDDT 47.6, pTM 0.284 in 0.2s (amortized, batch size 17). 142 / 4544 completed.
24/09/06 10:08:12 | INFO | root | Predicted structure for LOKIASV2_20880 hypothetical protein with length 60, pLDDT 50.6, pTM 0.149 in 0.2s (amortized, batch size 17). 143 / 4544 completed.
