original_ORF_annotation	foldseek description	evalue
cytosol nonspecific dipeptidase	Cytosol non-specific dipeptidase 	0.0000000000000000000000000000000000000000095500000
3-keto-5-aminohexanoate cleavage protein	3-keto-5-aminohexanoate cleavage enzyme 	0.0000000000000000000000000000000000000000000000048
"glutamate-1-semialdehyde 2,1-aminomutase"	3-aminobutyryl-CoA aminotransferase 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Cryo-EM structure of the 90S pre-ribosome 	0.0543300000000000000000000000000000000000000000000
hypothetical protein	GTPase HflX 	0.0000000000000000000000000000137000000000000000000
multiprotein bridging factor aMBF1	Uncharacterized HTH-type transcriptional regulator MJ0586 	0.0000000351000000000000000000000000000000000000000
peptide-methionine -S--S-oxide reductase MsrA	Peptide methionine sulfoxide reductase MsrA 	0.0000000000000000000000027000000000000000000000000
hypothetical protein	Small archaeal modifier protein 2 	0.0236800000000000000000000000000000000000000000000
tyrosine decarboxylase MfnA	Probable L-tyrosine/L-aspartate decarboxylase 	0.0000000000000000000000000000050800000000000000000
ATP-dependent helicase	Probable DNA helicase II homolog 	0.0000000000000000000000000000000000000000000000007
FGGY-family carbohydrate kinase	Xylulose kinase 	0.0000000000000000000000000000000000000000000089400
hypothetical protein	Uncharacterized transporter AF_0266 	0.0000002360000000000000000000000000000000000000000
hypothetical protein	HTH-type transcriptional regulator FL11 	0.0000001590000000000000000000000000000000000000000
Lrp-AsnC ligand binding domain-containing protein	crystal structure of FFRP-DM1 	0.0000001450000000000000000000000000000000000000000
nucleotide pyrophosphohydrolase	Uncharacterized protein YpjD 	0.0000007040000000000000000000000000000000000000000
hypothetical protein	Serine--tRNA ligase 	1.8440000000000000000000000000000000000000000000000
hypothetical protein	Ras-related protein Rab-1A 	0.0000000000000000000000012700000000000000000000000
hypothetical protein	Crystal structure of Br derivative BhCBM56 	0.0000264900000000000000000000000000000000000000000
hypothetical protein	Tetratricopeptide repeat protein 29 	0.0049780000000000000000000000000000000000000000000
hypothetical protein	PhaF2 protein 	0.9355000000000000000000000000000000000000000000000
nascent polypeptide-associated complex protein	Nascent polypeptide-associated complex protein 	0.0000000014500000000000000000000000000000000000000
hypothetical protein	tRNA-guanine(15) transglycosylase 	0.0000000000000000187000000000000000000000000000000
proteasome-activating nucleotidase	Proteasome-activating nucleotidase 	0.0000000000000000000000000000000000000000000000137
hypothetical protein	Protein-L-isoaspartate O-methyltransferase 	0.0000000000000000009270000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ0488 	2.6280000000000000000000000000000000000000000000000
hypothetical protein	The cryo-EM structure of human TFIIH 	0.0000000206000000000000000000000000000000000000000
hypothetical protein	Ras-related GTP-binding protein A 	0.0000000000000000311000000000000000000000000000000
hypothetical protein	Crystal structure of Ard1 N-terminal acetyltransferase from Sulfolobus solfataricus bound to CoA 	0.0000000000000000002190000000000000000000000000000
4-phosphopantoate--beta-alanine ligase	4-phosphopantoate--beta-alanine ligase 	0.0000000000000000000000022500000000000000000000000
peptide chain release factor aRF-1	Peptide chain release factor subunit 1 	0.0000000000000000000000000000000000000000000000000
pantoate kinase	Pantoate kinase 	0.0000000000000000000000003870000000000000000000000
UMP kinase	Uridylate kinase 	0.0000000000000000000000005940000000000000000000000
hypothetical protein	Uncharacterized protein MJ0944 	0.0011850000000000000000000000000000000000000000000
hypothetical protein	Lethal(3)malignant brain tumor-like protein 2 	0.5478000000000000000000000000000000000000000000000
hypothetical protein	Proteasome assembly chaperone 4 	0.0000012020000000000000000000000000000000000000000
inosine-xanthosine triphosphatase	Probable inosine/xanthosine triphosphatase 	0.0000000000000000000141000000000000000000000000000
hypothetical protein	Ras-related protein Rab-43 	0.0000000000000000000263000000000000000000000000000
phosphoadenosine phosphosulfate reductase family protein	Uncharacterized protein MJ0066 	0.0000000000000000000000000000000000000001400000000
HD domain-containing protein	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog 	0.0000000000000000000006240000000000000000000000000
hypothetical protein	Transposase for insertion sequence element IS6120 	1.1890000000000000000000000000000000000000000000000
hypothetical protein	DNA-directed RNA polymerase subunit P 	0.0003201000000000000000000000000000000000000000000
transcription initiation factor IIB	Transcription initiation factor IIB 	0.0000000000000000000000007180000000000000000000000
hypothetical protein	Crystal Structure of the Thorarchaeota ProGel/rabbit actin complex 	0.0000252000000000000000000000000000000000000000000
hypothetical protein	Odin profilin 	0.0000000005950000000000000000000000000000000000000
hypothetical protein	Zinc finger protein 574 	0.8978000000000000000000000000000000000000000000000
hypothetical protein	FCS-Like Zinc finger 14 	1.2620000000000000000000000000000000000000000000000
2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase 	0.0000000000000000000000090700000000000000000000000
DUF72 domain-containing protein	UPF0759 protein YunF 	0.0000000000000000291000000000000000000000000000000
3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase 	0.0000000000000000000000000000000000000000409000000
cell division protein FtsZ	Cell division protein FtsZ 2 	0.0000000000000000000000000000000000000000000000004
diaminopimelate decarboxylase	Diaminopimelate decarboxylase 	0.0000000000000000000000000000000005330000000000000
glycosyltransferase family 4 protein	Uncharacterized glycosyltransferase MJ1607 	0.0000000000000000000003760000000000000000000000000
hypothetical protein	Probable transcription termination protein NusA 	0.0000000069600000000000000000000000000000000000000
hypothetical protein	Zinc finger SWIM domain-containing protein 7 homolog 	0.0000004550000000000000000000000000000000000000000
KH domain-containing protein	KH domain-containing protein MJ0443 	0.0000000000000001540000000000000000000000000000000
serine-threonine-protein kinase Rio1	Serine/threonine-protein kinase rio1 	0.0000000000000000000009320000000000000000000000000
hypothetical protein	Uncharacterized protein MJ1650 	0.0000000000000000000000163000000000000000000000000
hypothetical protein	Crystal structure of an uncharacterized conserved protein from Methanopyrus kandleri 	0.0000000017800000000000000000000000000000000000000
translation initiation factor IF-2 subunit beta	Translation initiation factor 2 subunit beta 	0.0000000000000008150000000000000000000000000000000
OB-fold nucleic acid binding domain-containing protein	Replication protein A 32 kDa subunit B 	0.0000000000000023300000000000000000000000000000000
hypothetical protein	Membrane-bound transcription factor site-2 protease 	0.0000000000000002240000000000000000000000000000000
TIGR00269 family protein	Probable sulfurtransferase 	0.0000000000000000000000000012400000000000000000000
hypothetical protein	"Crystal structure of the U-box domain of human ubiquitin-protein ligase (E3), NORTHEAST STRUCTURAL GENOMICS CONSORTIUM TARGET HR4604D. "	0.0088620000000000000000000000000000000000000000000
hypothetical protein	Replication factor A 	0.0000000000000000000000000000000002740000000000000
protein-L-isoaspartate O-methyltransferase	Protein-L-isoaspartate O-methyltransferase 	0.0000000000000000000000000000006340000000000000000
DUF367 family protein	16S rRNA aminocarboxypropyltransferase 	0.0000000000000000266000000000000000000000000000000
hypothetical protein	Ragulator complex protein LAMTOR2 	0.0000367500000000000000000000000000000000000000000
S-methyl-5'-thioadenosine phosphorylase	S-methyl-5'-thioadenosine phosphorylase 	0.0000000000000000000000000000000000002600000000000
hypothetical protein	"Crystal structure of Pyrococcus furiosus PbaB, an archaeal proteasome activator "	0.0000000000000000000464000000000000000000000000000
7-cyano-7-deazaguanine synthase	Probable tRNA sulfurtransferase 	0.0000000000000000000131000000000000000000000000000
thermosome subunit beta	Thermosome subunit beta 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	DNA import protein CedB 	0.0000000000000045700000000000000000000000000000000
redox-regulated ATPase YchF	Uncharacterized GTP-binding protein MJ1332 	0.0000000000000000000000000000000000000000000007730
hypothetical protein		
hypothetical protein	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 	3.4130000000000000000000000000000000000000000000000
hypothetical protein	Ragulator complex protein LAMTOR2 homolog 	0.0000697200000000000000000000000000000000000000000
hypothetical protein	DENN domain-containing protein 11 	0.0011590000000000000000000000000000000000000000000
ADP-ribosylation factor-like protein	Myxococcus xanthus MglA in complex with its GAP MglB and GTPgammaS 	0.0000000000000000051900000000000000000000000000000
hypothetical protein	Crystal structure of human MUS81-EME2 complex 	0.7256000000000000000000000000000000000000000000000
hypothetical protein	Transcription initiation factor IIB 6 	0.0000000000112000000000000000000000000000000000000
tRNA -N-6--L-threonylcarbamoyladenosine-37--C-2---methylthiotransferase	Probable threonylcarbamoyladenosine tRNA methylthiotransferase 	0.0000000000000000000000000000000000000000003160000
hypothetical protein	UPF0148 protein AF_2370 	0.0000084570000000000000000000000000000000000000000
30S ribosomal protein S17e	30S ribosomal protein S17e 	0.0000438000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ1468 	0.0000000000000000000000000000000001130000000000000
hypothetical protein		
hypothetical protein	ORC1-type DNA replication protein 2 	0.0000000000000000000000000000669000000000000000000
hypothetical protein	Cadmium resistance transcriptional regulatory protein CadC 	0.0000151900000000000000000000000000000000000000000
hypothetical protein	Prepilin leader peptidase/N-methyltransferase 	0.2959000000000000000000000000000000000000000000000
hypothetical protein	Cryo-EM structure of Acidibacillus sulfuroxidans Cas12f in complex with sgRNA and target DNA 	0.0002600000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of the archaeal secretion ATPase GspE in complex with AMP-PNP 	0.0000000000000000000000000000243000000000000000000
hypothetical protein	Flagella accessory protein J 	0.0000617100000000000000000000000000000000000000000
50S ribosomal protein L23	50S ribosomal protein L23 	0.0000000000030000000000000000000000000000000000000
50S ribosomal protein L4	50S ribosomal protein L4 	0.0000000000000000000000000005540000000000000000000
50S ribosomal protein L3	50S ribosomal protein L3 	0.0000000000000000000000000000000000078800000000000
ribosome biogenesis-translation initiation ATPase RLI	Uncharacterized ABC transporter ATP-binding protein MJ0719 	0.0000000000000000000000000000000000000000000000000
lysine--tRNA ligase	Lysine--tRNA ligase 	0.0000000000000000000000000000000000000000020400000
hypothetical protein	DNA gyrase inhibitor YacG 	0.1860000000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of ProN-Tk-SP from Thermococcus kodakaraensis 	0.0000000000000000000000000000000001760000000000000
hypothetical protein	Meiosis-specific protein ASY1 	0.0418900000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ0661 	0.0000112100000000000000000000000000000000000000000
hypothetical protein	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein 	0.0000000320000000000000000000000000000000000000000
aspartate carbamoyltransferase regulatory subunit	Aspartate carbamoyltransferase regulatory chain 	0.0000000000000000000024000000000000000000000000000
hypothetical protein	F-box and WD repeat domain-containing 11a 	0.0000000000004580000000000000000000000000000000000
ribosome rescue protein RqcH	Archaeal Rqc2 homolog aRqcH 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein AF_0569 	0.1172000000000000000000000000000000000000000000000
hypothetical protein	Protein ITPRID1 	5.0750000000000000000000000000000000000000000000000
hypothetical protein	Cytochrome b558/566 subunit A 	0.0000100800000000000000000000000000000000000000000
hypothetical protein	Uncharacterized transcriptional regulator MJ0767 	0.0436600000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of a heptameric ring complex of yeast SmF in spacegroup P4122 	2.8070000000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein AF_1363 	0.0300000000000000000000000000000000000000000000000
FAD-dependent thymidylate synthase	Flavin-dependent thymidylate synthase 	0.0000000000000000000000000010400000000000000000000
Nif3-like dinuclear metal center hexameric protein	GTP cyclohydrolase 1 type 2 homolog 	0.0000000000000000000001970000000000000000000000000
HIT family protein	Uncharacterized HIT-like protein MJ0866 	0.0000000000000453000000000000000000000000000000000
hypothetical protein	Myosin-11 	1.0980000000000000000000000000000000000000000000000
hypothetical protein	DNA polymerase 2 	0.0000000000000000000000000000000000000000000029400
hypothetical protein	Abl interactor homolog 	1.6820000000000000000000000000000000000000000000000
shikimate kinase	Shikimate kinase 	0.0000000000000003190000000000000000000000000000000
hypothetical protein	Uncharacterized protein C16E8.12c 	0.3927000000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of a putative metal binding protein RUMGNA_00854 (ZP_02040092.1) from Ruminococcus gnavus ATCC 29149 at 1.30 A resolution 	0.0000015620000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ0310 	0.0000007200000000000000000000000000000000000000000
selenocysteine-specific translation elongation factor	Selenocysteine-specific elongation factor 	0.0000000000000000000000000000000000000000000033800
hypothetical protein	Cell division protein A 	0.0607000000000000000000000000000000000000000000000
hypothetical protein	Transmembrane 9 superfamily member 1 	8.8240000000000000000000000000000000000000000000000
hypothetical protein	Histone deacetylase complex subunit SAP30L 	0.4748000000000000000000000000000000000000000000000
CoA pyrophosphatase	Uncharacterized Nudix hydrolase NudL 	0.0000000000000000003380000000000000000000000000000
isoprenylcysteine carboxylmethyltransferase family protein	Protein-S-isoprenylcysteine O-methyltransferase 	0.0016200000000000000000000000000000000000000000000
hypothetical protein	Crystal Structure of inactive single chain wild-type HIV-1 Protease in Complex with the substrate CA-p2 	0.0000000002790000000000000000000000000000000000000
MBL fold metallo-hydrolase	Uncharacterized protein MJ0047 	0.0000000000000000000000000000000000000002750000000
hypothetical protein	"Crystal Structure of the ZnF3 of Nucleoporin NUP153 in complex with Ran-GDP, resolution 2.05 Angstrom "	1.8020000000000000000000000000000000000000000000000
hypothetical protein	Protein transport protein yip1 	6.2230000000000000000000000000000000000000000000000
hypothetical protein	Elongation factor Tu 	0.0000001800000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ1365 	0.0000000033000000000000000000000000000000000000000
hypothetical protein	Oligomycin resistance ATP-dependent permease YOR1 	4.6120000000000000000000000000000000000000000000000
acyl-CoA--6-aminopenicillanic acid acyltransferase	Secernin-3 	0.0000000000000000000000000000000000000060600000000
GNAT family N-acetyltransferase	Crystal structure of GCN5-related N-acetyltransferase (YP_295895.1) from Ralstonia eutropha JMP134 at 1.80 A resolution 	0.0000000000000100000000000000000000000000000000000
hypothetical protein	Tetratricopeptide repeat protein 16 	0.0000004720000000000000000000000000000000000000000
hypothetical protein	Cryo-EM structure of human ferroportin/slc40 bound to minihepcidin PR73 in nanodisc 	0.3961000000000000000000000000000000000000000000000
adenylate kinase family protein	Putative adenylate kinase 	0.0000000000000000519000000000000000000000000000000
phenylacetic acid degradation protein PaaY	Carnitine operon protein CaiE 	0.0000000000000008410000000000000000000000000000000
hypothetical protein	Uncharacterized protein sll0103 	0.0000000000000000000000000181000000000000000000000
hypothetical protein	Protein FraH 	0.0000001040000000000000000000000000000000000000000
hypothetical protein	Rv0020c_FHA Structure 	0.0001505000000000000000000000000000000000000000000
hypothetical protein	Spermidine/putrescine import ATP-binding protein PotA 	1.2860000000000000000000000000000000000000000000000
hypothetical protein	Centrosomal protein of 170 kDa protein B 	0.0004256000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of the Mycobacterium tuberculosis PASTA kinase PknB in complex with the potential theraputic kinase inhibitor GSK690693. 	0.0000000000000000189000000000000000000000000000000
Stp1nIreP family PP2C-type Ser-Thr phosphatase	Structural analysis of the PP2C Family Phosphatase tPphA of Thermosynechococcus elongatus 	0.0000000000000010200000000000000000000000000000000
hypothetical protein	Serine/threonine-protein phosphatase 4 catalytic subunit 	0.0000000000000000000000806000000000000000000000000
hypothetical protein	The Potato Late Blight pathogen (Phytophthora infestans) effector protein Pi04134 in complex with potato protein phosphatase type 1c (PP1c). 	0.0000000000000000000001970000000000000000000000000
hypothetical protein	tRNA-guanine(15) transglycosylase 	0.0000000000000000000000000000000000000000000061400
DUF371 domain-containing protein	Uncharacterized protein MJ0206 	0.0000000000000000027600000000000000000000000000000
tRNA -guanine-37--N1--methyltransferase Trm5b	tRNA (guanine(37)-N1)-methyltransferase Trm5b 	0.0000000000000000000000000000000003180000000000000
hypothetical protein	Putative HTH-type transcriptional regulator TrmBL2 	0.0000000012800000000000000000000000000000000000000
hypothetical protein	"Structure of TrmBL2, an archaeal chromatin protein, shows a novel mode of DNA binding. "	0.0000000128000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MJ1340 	0.0000005160000000000000000000000000000000000000000
hypothetical protein	Uncharacterized 19.2 kDa protein in cobO 3'region 	0.0000000201000000000000000000000000000000000000000
hypothetical protein	Crystal structure of D. melanogaster Pur-alpha repeat III. 	0.1585000000000000000000000000000000000000000000000
gamma carbonic anhydrase family protein	Gamma-Carbonic Anhydrase from the Haloarchaeon Halobacterium sp. 	0.0000000000000195000000000000000000000000000000000
transcription initiation factor IIB	Transcription initiation factor IIB 	0.0000000000000000001510000000000000000000000000000
hypothetical protein	Ras-related GTP-binding protein A 	0.0000000000000000000032300000000000000000000000000
TIGR02253 family HAD-type hydrolase	Glyceraldehyde 3-phosphate phosphatase 	0.0000000000000000000000053300000000000000000000000
hypothetical protein	Guanine nucleotide exchange protein smcr-8 	0.0000026930000000000000000000000000000000000000000
inositol-3-phosphate synthase	Inositol-3-phosphate synthase 	0.0000000000000000000000000000000000000000000692000
hypothetical protein	Relaxosome protein TraY 	0.0259700000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized HTH-type transcriptional regulator MJ0925 	0.0008775000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein HI_0647 	0.0006203000000000000000000000000000000000000000000
hypothetical protein	Ribonuclease P protein component 2 	0.0000000000041900000000000000000000000000000000000
hypothetical protein	Ribonuclease P protein component 3 	0.0000000000049300000000000000000000000000000000000
hypothetical protein	"Crystal structure of protein AF2318 from Archaeglobus fulgidus, Pfam DUF54 "	0.0000000000000769000000000000000000000000000000000
50S ribosomal protein L15e	50S ribosomal protein L15e 	0.0000000000000000000011300000000000000000000000000
hypothetical protein	Mutual gliding-motility protein MglA 	0.0000000000000007360000000000000000000000000000000
hypothetical protein	Hydrogenase maturation factor HypA 	0.1893000000000000000000000000000000000000000000000
serine--tRNA ligase	Serine--tRNA ligase 	0.0000000000000000000000000000000000000000000000000
radical SAM protein	Uncharacterized protein MJ1620 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Phytol kinase 	0.0000000028800000000000000000000000000000000000000
hypothetical protein	"PROLYL-TRNA SYNTHETASE FROM ENTEROCOCCUS FAECALIS COMPLEXED WITH ATP, manganese and prolinol "	0.6641000000000000000000000000000000000000000000000
L-threonylcarbamoyladenylate synthase	Threonylcarbamoyl-AMP synthase 	0.0000000000000000000000000000000000000001140000000
hypothetical protein	Interferon-induced transmembrane protein 5 	4.3210000000000000000000000000000000000000000000000
hypothetical protein	Solution structure of the N terminal domain of MazE9 antitoxin (nMazE9) from Mycobacterium tuberculosis 	7.4640000000000000000000000000000000000000000000000
hypothetical protein	HTH-type transcriptional regulator lrs14 	0.0003487000000000000000000000000000000000000000000
hypothetical protein		
hypothetical protein	Crystal Structure of Prolyl-tRNA Synthetase (PRS) from Plasmodium falciparum 	9.1990000000000000000000000000000000000000000000000
hypothetical protein	X-ray crystal structure of VapB12 antitoxin from mycobacterium tuberculosis in space group P41. 	4.0550000000000000000000000000000000000000000000000
hypothetical protein	Tetratricopeptide repeat protein 21B 	1.1450000000000000000000000000000000000000000000000
hypothetical protein	Crystal Structure of N-Acylhomoserine Lactone Dependent LuxR Family Transcriptionl Factor CepR2 from Burkholderia cenocepacia 	0.6781000000000000000000000000000000000000000000000
hypothetical protein	Structure of a functional ribonucleoprotein pseudouridine synthase bound to a substrate RNA 	3.3140000000000000000000000000000000000000000000000
hypothetical protein	Secretion system apparatus protein SsaS 	1.5960000000000000000000000000000000000000000000000
hypothetical protein	ATP-dependent helicase/nuclease subunit A 	0.0000282100000000000000000000000000000000000000000
hypothetical protein	ATP-dependent helicase/nuclease subunit A 	0.0000803100000000000000000000000000000000000000000
hypothetical protein	Probable archaeal histone A1-2 	0.0001571000000000000000000000000000000000000000000
hypothetical protein	Ketoisovalerate oxidoreductase subunit VorB 	0.0000000000001660000000000000000000000000000000000
pyruvate synthase subunit PorA	Pyruvate synthase subunit PorA 	0.0000000000000000000000000000000000000151000000000
hypothetical protein	Pyruvate/ketoisovalerate oxidoreductases common subunit gamma 	0.0000000000000000000017100000000000000000000000000
hypothetical protein	Crystallographic structure of the Pins:Insc complex 	0.0000000000127000000000000000000000000000000000000
hypothetical protein	Crystal structure of AP2 Mu2 in complex with FCHO2 WxxPhi motif (C2 crystal form) 	0.0015240000000000000000000000000000000000000000000
hypothetical protein	The crystal structure of the glutaredoxin(grx-1) from Archaeoglobus fulgidus 	0.0000196900000000000000000000000000000000000000000
hypothetical protein	Ras-related protein RABE1a 	0.0000000000000001030000000000000000000000000000000
urocanate hydratase	Probable urocanate hydratase 	0.0000000000000000000000000000000000000000000006830
histidine ammonia-lyase	Probable histidine ammonia-lyase 	0.0000000000000000000000000000000000000000000243000
imidazolonepropionase	Imidazolonepropionase 	0.0000000000000000000000000000000000000000014400000
glutamate formimidoyltransferase	Glutamate formimidoyltransferase 	0.0000000000000000000000000000000000000000000785000
cyclodeaminase-cyclohydrolase family protein	Methenyltetrahydrofolate cyclohydrolase 	0.0000000000000001400000000000000000000000000000000
hypothetical protein	Uncharacterized protein aq_850 	1.1160000000000000000000000000000000000000000000000
radical SAM protein	Uncharacterized protein AF_0243 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Structure of the vertebrate gamma-Tubulin Ring Complex 	8.2250000000000000000000000000000000000000000000000
hypothetical protein	D-apiose dehydrogenase 	0.0000000000000000000001250000000000000000000000000
hypothetical protein	Crytsal structure of ScpB derived from Pyrococcus yayanosii 	0.0000000000010500000000000000000000000000000000000
hypothetical protein	Crystal structure of the SmcHead bound to the C-winged helix domain of ScpA 	0.0488500000000000000000000000000000000000000000000
hypothetical protein	Chromosome partition protein Smc 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	LexA repressor 	0.2397000000000000000000000000000000000000000000000
TIGR01458 family HAD-type hydrolase	Haloacid dehalogenase-like hydrolase domain-containing protein 2 	0.0000000000000000000002470000000000000000000000000
hypothetical protein	DNA replication complex GINS protein PSF2 	0.0000001650000000000000000000000000000000000000000
hypothetical protein	Transposase for insertion sequence element IS1001 	0.0004332000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein y4hP 	0.0000000271000000000000000000000000000000000000000
hypothetical protein	Splicing factor 3B subunit 1 	0.0000000000654000000000000000000000000000000000000
hypothetical protein	Serine/threonine-protein kinase TAO2 	0.0044060000000000000000000000000000000000000000000
hypothetical protein	Folliculin 	0.0001671000000000000000000000000000000000000000000
hypothetical protein	Crystal structure of the complex between the conserved cell polarity proteins Inscuteable and LGN 	0.0000000067500000000000000000000000000000000000000
AmmeMemoRadiSam system radical SAM enzyme	Uncharacterized protein MJ0808 	0.0000000000000000000000000000000000000000000003450
hypothetical protein	Crystal structure of D-mannose isomerase 	0.0000000000004870000000000000000000000000000000000
hypothetical protein	Crystal structure of tetra-tandem repeat in extending region of large adhesion protein 	0.0000000000009910000000000000000000000000000000000
acyl-CoA dehydratase activase	2-hydroxyisocaproyl-CoA dehydratase activator 	0.0000000000000000000000029400000000000000000000000
acyl-CoA dehydratase activase-related protein	Putative dehydratase subunit YjiM 	0.0000014980000000000000000000000000000000000000000
acyl-CoA dehydratase activase-related protein	(R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit 	0.0000000002510000000000000000000000000000000000000
hypothetical protein	1-acyl-sn-glycerol-3-phosphate acyltransferase 	0.0000000000000050500000000000000000000000000000000
hypothetical protein	Ankyrin repeat domain-containing protein 36C 	0.0005015000000000000000000000000000000000000000000
hypothetical protein	Putative DNA-binding protein YwzG 	0.0000398500000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein MG144 homolog 	0.5669000000000000000000000000000000000000000000000
